,地区,新增确诊,累计确诊,治愈,死亡,疫情
0,美国,26465,609685,49966,26059,详情
1,西班牙,5092,177633,70853,18579,详情
2,意大利,2972,162488,37130,21067,详情
3,德国,1776,132210,72600,3495,详情
4,法国,4202,131362,29121,15750,详情
5,英国,5278,94847,344,12131,详情
6,伊朗,1512,76389,49933,4777,详情
7,土耳其,4062,65111,4799,1403,详情
8,比利时,2454,33573,7107,4440,详情
9,荷兰,734,28314,297,3144,详情
10,加拿大,1383,27063,8235,903,详情
11,瑞士,110,26023,14700,1190,详情
12,巴西,1803,25758,14026,1557,详情
13,俄罗斯,3388,24490,1986,198,详情
14,葡萄牙,643,18091,383,599,详情
15,奥地利,138,14297,8098,393,详情
16,以色列,332,12200,2309,126,详情
17,瑞典,482,11927,381,1203,详情
18,印度,1014,11555,1362,396,详情
19,爱尔兰,832,11479,77,406,详情
20,韩国,27,10591,7616,225,详情
21,秘鲁,519,10303,2869,230,详情
22,日本,455,8100,853,146,详情
23,智利,392,7917,2646,92,详情
24,厄瓜多尔,74,7603,696,369,详情
25,波兰,359,7408,668,268,详情
26,罗马尼亚,337,7216,1217,362,详情
27,丹麦,185,6876,2692,309,详情
28,挪威,63,6686,32,142,详情
29,澳大利亚,143,6440,2186,63,详情
30,捷克,92,6151,676,163,详情
31,巴基斯坦,151,5988,1446,107,详情
32,菲律宾,230,5453,353,349,详情
33,墨西哥,385,5399,2125,406,详情
34,沙特阿拉伯,435,5369,889,73,详情
35,印度尼西亚,297,5136,446,469,详情
36,马来西亚,85,5072,2647,83,详情
37,阿联酋,412,4933,933,28,详情
38,塞尔维亚,411,4465,118,94,
39,乌克兰,392,3764,143,108,
40,白俄罗斯,447,3728,203,36,详情
41,卡塔尔,283,3711,406,7,详情
42,巴拿马,102,3574,72,95,详情
43,卢森堡,15,3307,500,67,详情
44,多米尼加,119,3286,162,183,
45,新加坡,720,3252,611,10,详情
46,芬兰,76,3237,300,64,详情
47,哥伦比亚,127,2979,354,127,详情
48,泰国,30,2643,1497,43,详情
49,阿根廷,166,2443,559,105,详情
50,南非,242,2415,410,27,详情
51,埃及,160,2350,589,178,详情
52,希腊,25,2170,269,101,详情
53,阿尔及利亚,87,2070,691,326,
54,摩洛哥,150,1988,218,127,
55,摩尔多瓦,87,1934,171,43,
56,克罗地亚,37,1741,473,34,
57,冰岛,9,1720,989,8,详情
58,匈牙利,67,1579,192,134,详情
59,巴林,6,1528,648,7,详情
60,科威特,50,1405,206,3,详情
61,爱沙尼亚,27,1400,117,35,
62,伊拉克,22,1400,766,78,详情
63,新西兰,20,1386,728,9,详情
64,哈萨克斯坦,88,1290,220,15,详情
65,乌兹别克斯坦,162,1275,99,4,详情
66,斯洛文尼亚,28,1248,165,61,详情
67,孟加拉,219,1231,49,50,
68,阿塞拜疆,49,1197,351,13,
69,亚美尼亚,44,1111,297,17,
70,波黑,27,1110,253,41,
71,立陶宛,21,1091,138,29,
72,阿曼,97,910,131,4,详情
73,北马其顿,54,908,86,44,
74,斯洛伐克,28,863,151,2,
75,喀麦隆,28,848,130,14,
76,阿富汗,70,784,43,25,
77,古巴,40,766,132,21,详情
78,突尼斯,21,747,43,34,
79,保加利亚,22,735,105,36,
80,钻石号邮轮,0,712,639,12,
81,塞浦路斯,33,695,65,12,
82,拉脱维亚,9,666,44,5,
83,安道尔,13,659,128,31,
84,黎巴嫩,17,658,81,21,详情
85,科特迪瓦,12,638,114,6,详情
86,加纳,70,636,17,8,详情
87,哥斯达黎加,6,618,66,3,详情
88,尼日尔,22,570,90,14,详情
89,布基纳法索,13,528,177,30,
90,阿尔巴尼亚,19,494,251,25,详情
91,乌拉圭,9,492,260,8,详情
92,吉尔吉斯斯坦,19,449,78,5,详情
93,洪都拉斯,12,419,9,31,
94,马耳他,6,399,44,3,
95,玻利维亚,43,397,7,28,详情
96,约旦,6,397,235,7,
97,尼日利亚,30,373,99,11,
98,圣马力诺,1,372,53,36,
99,吉布提,149,363,53,2,详情
100,几内亚,113,363,31,0,详情
101,毛里求斯,0,324,51,9,
102,波多黎各,30,316,0,12,详情
103,塞内加尔,15,314,190,2,
104,格鲁吉亚,10,306,69,3,
105,黑山,10,288,46,4,详情
106,越南,1,267,171,0,详情
107,刚果（金）,6,241,20,20,
108,斯里兰卡,16,235,63,7,
109,肯尼亚,17,225,53,10,详情
110,委内瑞拉,8,197,111,9,详情
111,危地马拉,13,180,19,5,详情
112,巴拉圭,2,161,23,8,
113,巴勒斯坦,6,161,18,1,详情
114,萨尔瓦多,10,159,30,6,详情
115,马里,21,144,34,13,详情
116,文莱,0,136,108,1,
117,卢旺达,7,134,49,0,详情
118,柬埔寨,0,122,96,0,
119,特立尼达和多巴哥,0,113,17,8,
120,马达加斯加,2,108,23,0,详情
121,牙买加,32,105,21,5,详情
122,摩纳哥,0,93,6,1,
123,埃塞俄比亚,3,85,15,3,详情
124,多哥,4,81,35,3,
125,加蓬,23,80,4,1,详情
126,列支敦士登公国,0,79,55,1,
127,缅甸,12,74,2,4,详情
128,刚果（布）,14,74,10,5,
129,巴巴多斯,1,73,15,5,
130,索马里,35,60,2,2,详情
131,利比里亚,8,59,4,6,详情
132,坦桑尼亚,10,59,7,3,详情
133,乌干达,1,55,8,0,详情
134,巴哈马,2,49,6,8,详情
135,赞比亚,3,48,30,2,详情
136,圭亚那,2,47,8,6,详情
137,几内亚比绍,5,43,0,0,详情
138,赤道几内亚,20,41,4,0,详情
139,海地,7,40,0,3,详情
140,马提尼克岛,5,37,0,1,
141,贝宁,0,35,18,1,详情
142,厄立特里亚,1,35,0,0,详情
143,利比亚,9,35,9,1,详情
144,苏丹,3,32,4,5,详情
145,蒙古,13,30,5,0,
146,叙利亚,4,29,5,2,详情
147,莫桑比克,7,28,2,0,详情
148,乍得,5,23,2,0,详情
149,安提瓜和巴布达,0,23,3,2,
150,马尔代夫,1,21,16,0,
151,安哥拉,0,19,5,2,详情
152,老挝,0,19,1,0,详情
153,津巴布韦,1,18,1,3,详情
154,伯利兹,4,18,0,2,详情
155,尼泊尔,2,16,1,0,
156,马拉维,0,16,0,2,详情
157,斐济,0,16,0,0,
158,纳米比亚,0,16,3,0,详情
159,多米尼克,0,16,8,0,
160,圣卢西亚,0,15,11,0,
161,斯威士兰,1,15,8,0,详情
162,圣基茨和尼维斯,2,14,0,0,
163,格林纳达,0,14,0,0,
164,塞拉利昂,2,13,0,0,详情
165,博茨瓦纳,0,13,0,1,详情
166,圣文森特和格林纳丁斯,0,12,1,0,
167,塞舌尔,0,11,0,0,
168,佛得角,1,11,1,1,
169,中非共和国,0,11,4,0,
170,苏里南,0,10,6,1,
171,冈比亚,0,9,2,1,
172,尼加拉瓜,0,9,4,1,
173,东帝汶,2,8,1,0,
174,梵蒂冈,0,8,2,0,
175,毛里塔尼亚,0,7,2,1,
176,布隆迪,0,5,0,1,
177,不丹,0,5,2,0,
178,巴布亚新几内亚,0,2,0,0,
179,也门,0,1,0,0,
